provider_location_guid,loc_name,loc_phone,loc_admin_street1,loc_admin_state,latitude,longitude
43149250-dc4f-42c3-b274-a18b2083e87a,Walgreens Co. #19742,413-445-5030,163 SOUTH ST,MA,42.444558,-73.254467
80634663-4467-4bcf-81ee-bbad210b5d62,Springfield Pharmacy,413-266-3462,2547 MAIN ST,MA,42.11362,-72.604806
dbfae69d-fbc6-468e-acac-67dfb73ddbcd,Walgreens Co. #15193,413-774-5468,329 CONWAY ST,MA,42.603061,-72.609896
5e930b0d-f970-45a9-be1a-10d975d86392,SULLIVANS PHARMACY and MEDICAL SUPP #MS1000614,(617) 323-6544,1 CORINTH ST,MA,42.286654,-71.130749
8a2fa454-ad27-4d6e-9eb2-540dc1e351ba,MinuteClinic #21333,6172440858,978 BOYLSTON ST,MA,42.318117,-71.211237
fe5010a7-5a8c-4e0b-b531-9b56cd172661,Walgreens Co. #17837,508-771-6511,360 BARNSTABLE RD,MA,41.662714,-70.283896
50ab0195-b84b-4f57-92d6-7d5f63e4474e,Walgreens Co. #2268,413-733-3002,50 SAINT JAMES BLVD,MA,42.135332,-72.569437
dbaa5354-730e-424e-9395-c0a5af54d9af,BIRDS HILL PHARMACY #MS1000593,781-449-0550,401 GREAT PLAIN AVE,MA,42.276182,-71.215191
ec0cc365-4bbc-4946-bebc-180378e4e80d,MinuteClinic #21464,9787402912,300 CANAL ST,MA,42.501041,-70.896627
3edc7f0b-7958-40ff-999d-5d66e0693ad5,Galaxy Pharmacy,617-302-3599,343 NEWPORT AVE,MA,42.26525,-71.019551
f7b2fe5b-1b58-41f7-b736-d7177357cbc3,Walgreens Co. #17875,508-842-8400,557 MAIN STREET,MA,42.296721,-71.715118
8780fb90-f014-4387-bf11-cb6dd39091f1,Galaxy Pharmacy,617-268-0800,534 DORCHESTER AVE #C-1,MA,42.331049,-71.056847
e08f5ee2-4fea-4bd3-addb-c68b79313d03,Walgreens Co. #9319,781-393-5693,49 STATION LNDG,MA,42.404186,-71.080819
f2bfaa3e-bc8b-4009-b16a-db41cf14b833,HEALTH FIRST PHARMACY #MS1001360,(508) 271-1500,855 WORCESTER RD STE 5,MA,42.300347,-71.431884
6585a9a8-d662-45b7-be7e-96f57bd1f890,Manet Community Health Center-Taunton,,1 WASHINGTON ST,MA,41.900662,-71.098632
fe5010a7-5a8c-4e0b-b531-9b56cd172661,Walgreens Co. #17837,508-771-6511,360 BARNSTABLE RD,MA,41.662714,-70.283896
86c598b7-7e62-48bf-982a-4fc807545681,MinuteClinic #21462,4137747201,137 FEDERAL ST,MA,42.592138,-72.597283
093690ba-42aa-4e19-a890-3249df38dde7,Walgreens Co. #18338,978-937-0030,121 CHURCH ST,MA,42.640502,-71.305888
181ea9a5-27ff-4a22-b24a-2015640a3b30,Walgreens Co. #1871,617-964-0231,22 LANGLEY RD,MA,42.331163,-71.193355
a1b6cd21-36f0-42ae-ac2a-208537bad264,BAKER PHARMACY,413-625-6324,52 BRIDGE ST,MA,42.6038,-72.738486
50ab0195-b84b-4f57-92d6-7d5f63e4474e,Walgreens Co. #2268,413-733-3002,50 SAINT JAMES BLVD,MA,42.135332,-72.569437
dbfae69d-fbc6-468e-acac-67dfb73ddbcd,Walgreens Co. #15193,413-774-5468,329 CONWAY ST,MA,42.603061,-72.609896
97adaf29-2d44-426b-ae1e-98b0ea967a3b,Union Pharmacy,617-928-8455,103 UNION ST,MA,42.329606,-71.19341
19ef5320-2521-4f71-a807-f14d704c68d3,Whittier Health Pharmacy II #2244541,(617) 652-7679,278 Blue Hill Avenue Suite 288,MA,42.314746,-71.078485
093690ba-42aa-4e19-a890-3249df38dde7,Walgreens Co. #18338,978-937-0030,121 CHURCH ST,MA,42.640502,-71.305888
3c736d1b-5887-4777-9d5c-8023a80196bf,DUVALS PHARMACY #MS1002578,(781) 447-0606,571 WASHINGTON ST,MA,42.080536,-70.937115
f7b2fe5b-1b58-41f7-b736-d7177357cbc3,Walgreens Co. #17875,508-842-8400,557 MAIN STREET,MA,42.296721,-71.715118
7bd6371f-3671-4bea-8c86-e02c0b8c9799,MetroWest Pharmacy,508-405-0609,214 UNION AVE,MA,42.283884,-71.421008
43149250-dc4f-42c3-b274-a18b2083e87a,Walgreens Co. #19742,413-445-5030,163 SOUTH ST,MA,42.444558,-73.254467
dbfae69d-fbc6-468e-acac-67dfb73ddbcd,Walgreens Co. #15193,413-774-5468,329 CONWAY ST,MA,42.603061,-72.609896
c6ba075b-c2a8-4584-adc7-668c1e486440,CURE-AID PHARMACY #MS1001339,(978) 984-5285,203 ESSEX ST,MA,42.707922,-71.158603
a170a9aa-25ea-4692-a71b-1641134ffe57,Walgreens Co. #17584,413-737-6294,126 ISLAND POND RD,MA,42.09695,-72.552
a170a9aa-25ea-4692-a71b-1641134ffe57,Walgreens Co. #17584,413-737-6294,126 ISLAND POND RD,MA,42.09695,-72.552
a170a9aa-25ea-4692-a71b-1641134ffe57,Walgreens Co. #17584,413-737-6294,126 ISLAND POND RD,MA,42.09695,-72.552
a170a9aa-25ea-4692-a71b-1641134ffe57,Walgreens Co. #17584,413-737-6294,126 ISLAND POND RD,MA,42.09695,-72.552
a170a9aa-25ea-4692-a71b-1641134ffe57,Walgreens Co. #17584,413-737-6294,126 ISLAND POND RD,MA,42.09695,-72.552
a170a9aa-25ea-4692-a71b-1641134ffe57,Walgreens Co. #17584,413-737-6294,126 ISLAND POND RD,MA,42.09695,-72.552
4665901d-2c67-4fd4-bf96-05019d742ce1,MinuteClinic #20787,9786583377,222 MAIN ST,MA,42.556627,-71.180777
60a21021-5e18-4135-a715-5ee951c9bf0e,Stop & Shop #71,508-672-2366,501 RODMAN STREET,MA,41.693968,-71.152781
45c3bc9a-802b-41c3-a8ac-ad385592808a,Rite Aid #RA110092,508-943-5146,80 EAST MAIN STREET,MA,42.057262,-71.869019
dbaa5354-730e-424e-9395-c0a5af54d9af,BIRDS HILL PHARMACY #MS1000593,781-449-0550,401 GREAT PLAIN AVE,MA,42.276182,-71.215191
92b5435e-750e-4dc1-b455-c3089d434808,Stop & Shop #45,413-774-6006,89 FRENCH KING HWY,MA,42.607018,-72.573363
7389ddc7-ba6f-4233-b020-85d198782904,Stop & Shop #98,508-996-5090,438 DARTMOUTH STREET,MA,41.616015,-70.935732
ccc97997-6fef-4e56-be95-24e784389fce,Stop & Shop #11,781-485-0080,40 FURLONG DR,MA,42.399329,-70.999074
77c36bf9-a909-472f-90bb-9fa7e30c2efe,Stop & Shop #14,781-826-7329,125 CHURCH STREET,MA,42.105247,-70.772228
49802caa-8757-4f7a-998b-65e1b9594f67,Stop & Shop #35,781-749-5856,400 LINCOLN STREET,MA,42.248279,-70.924564
bfda52b5-1e8d-4b9f-a7d1-b7302681b52e,Stop & Shop #473,508-675-0887,333 MARIANO BISHOP BOULEVARD,MA,41.67428,-71.164532
3ac2ca2b-20ec-461c-a650-7d9301b423e3,Stop & Shop #12,508-833-3288,65 ROUTE 6A,MA,41.766204,-70.509532
cc5538e0-f785-4c5b-9805-f0ddc11b1aa6,Stop & Shop #22,508-394-8909,55 LONG POND DRIVE,MA,41.658041,-70.207706
40cb8091-e32d-4c66-aa56-5a9d72b22f2c,Stop & Shop #21,413-442-8898,1 DAN FOX DR RTE 7,MA,42.409291,-73.264663
1f54d132-fc43-46c8-9a3a-b599393a2564,Stop & Shop #427,508-990-4700,221 HUTTLESTON AVENUE,MA,41.641054,-70.887855
2d7d5aeb-7556-477d-a0c8-b557d6a1f531,Stop & Shop #96,781-932-8660,2 ELM STREET,MA,42.500945,-71.159334
f83657d8-6cec-4d87-a1fe-c911285b6c07,Stop & Shop #9,413-536-5483,28 LINCOLN STREET,MA,42.214273,-72.617704
75617ed2-9bf3-4ddc-8001-c237c5f599b3,Stop & Shop #499,978-388-9755,100 MACY STREET,MA,42.847428,-70.911226
821e154c-05b6-4c02-b86a-2f3599587837,Stop & Shop #435,413-323-9096,40 FEDERAL STREET,MA,42.291744,-72.409008
032dd54c-ea90-448f-84b4-74aa75254101,Stop & Shop #425,508-540-4711,20 TEATICKET HIGHWAY,MA,41.562452,-70.599558
3b1c9e5e-b0da-437b-aa0b-07772b13b8c4,Stop & Shop #493,508-999-7300,25 FAUNCE CORNER RD,MA,41.642557,-70.985457
934c87a7-8eb9-410a-8c57-b65a1d04973a,Stop & Shop #406,508-790-2182,425 ATTUCKS LANE,MA,41.676807,-70.30791
69eb3e92-58e3-48d2-a69f-ac38bf66cb8c,Stop & Shop #61,413-525-6929,470 NORTH MAIN STREET,MA,42.077327,-72.526963
e3a8e76c-e2dc-416a-a1a7-10fc6f2f3b8b,Stop & Shop #54,781-871-9228,375 CENTRE AVENUE (ROUTE 123),MA,42.109226,-70.929442
6c95b8fa-72cd-4b26-ae6d-511185a0aea6,Stop & Shop #398,508-627-5107,245 VINEYARD HAVEN ROAD,MA,41.395498,-70.530096
0ea12f09-3a0a-4fe9-8bfa-be0d85b68158,Stop & Shop #64,508-255-3851,2110 CRANBERRY COVE PLAZA,MA,41.796205,-69.984927
0f86bc0c-5503-4dcb-bdab-02b1b3a9efe8,Stop & Shop #3,508-820-0903,235 OLD CONNECTICUT PATH,MA,42.306084,-71.400807
b8027765-b204-45fd-8599-2dff85eee426,Stop & Shop #67,781-596-3277,35 WASHINGTON STREET,MA,42.469805,-70.958952
0eb939fc-fc30-45c2-9a53-2d662c639866,Stop & Shop #6,508-653-3504,"829 WORCESTER STREET, RTE 9",MA,42.301208,-71.357805
ab3887cb-c65a-4962-ab45-488396d90155,Stop & Shop #2417,508-743-9563,1 TROWBRIDGE PLACE SUITE 103,MA,41.740747,-70.598024
41ad32a2-9257-4a39-8309-abeef6a5967c,Stop & Shop #498,617-666-1404,779 MCGRATH HIGHWAY,MA,42.391492,-71.085525
9991caf2-2982-48e0-9ce3-f964cf04b02a,Stop & Shop #2418,508-478-5748,126 MEDWAY ROAD,MA,42.150383,-71.487632
a7229fee-9a7c-41e7-ac47-fe224a5a2808,Stop & Shop #490,508-695-6111,206 EAST WASHINGTON STREET,MA,41.972077,-71.333288
902715d5-c192-4951-ac49-97d27c535bb9,Stop & Shop #402,781-582-3703,160 SUMMER STREET,MA,42.007552,-70.732644
b215b31a-3ccc-40d0-b92e-a1c502d78323,Stop & Shop #79,508-791-2166,949 GRAFTON STREET,MA,42.248484,-71.759839
d956eb54-a928-4a89-92bb-543ddffe9764,Stop & Shop #94,413-733-8511,935 RIVERDALE STREET,MA,42.129576,-72.62346
880bc4a9-afec-4cbc-89c4-69368ae64ced,Stop & Shop #15,781-596-0224,450 PARADISE ROAD,MA,42.482792,-70.904523
76d05a3e-c875-4469-97b6-16a06c006820,Stop & Shop #62,781-397-0050,99 CHARLES STREET,MA,42.424181,-71.071505
373a0044-6f1e-4998-94aa-c0c58525a945,Stop & Shop #458,413-443-0064,660 MERRILL ROAD,MA,42.465224,-73.203363
e0987f2d-47b1-41b1-b8f6-fa2f86985e8f,Stop & Shop #80,413-732-7040,1277 LIBERTY STREET,MA,42.13726,-72.582051
948b2d31-9ec4-4c4e-9067-b25e04d1587a,Stop & Shop #469,508-746-7114,127 SAMOSET STREET,MA,41.954999,-70.685604
5194186b-06eb-4c39-81d5-f5659df38678,Stop & Shop #95,413-256-4167,456 RUSSELL STREET,MA,42.36551,-72.536427
c92cdaa3-f57f-4c01-bcd1-721596fe5dfd,Stop & Shop #404,413-543-5428,1600 BOSTON POST ROAD,MA,42.14473,-72.489996
c3dd880d-ef42-49b3-b656-d9f23ccf2498,Stop & Shop #17,617-471-6707,495 SOUTHERN ARTERY,MA,42.252781,-70.994987
7f4149d8-1607-4d5b-ba5c-5a228a445abe,Stop & Shop #784,413-664-8550,876 STATE ROAD RTE 2,MA,42.699212,-73.165862
cf4f789e-08ee-448c-a288-bcf270a88ec2,Stop & Shop #30,413-536-9101,2265 NORTHAMPTON STREET,MA,42.183624,-72.633411
06b13882-388b-4934-8b69-38930575e550,Stop & Shop #2403,508-487-3738,56 SHANK PAINTER ROAD,MA,42.05027,-70.195999
2e5ede88-c4cd-43a2-9b44-a2d19a508ecd,Stop & Shop #70,508-998-0999,1001 KINGS HWY,MA,41.679109,-70.94242
d43d966d-e6a6-4727-b507-204e66cd6817,Stop & Shop #478,781-356-8596,316 GROVE STREET,MA,42.190603,-70.986443
40cfd09d-e905-4ba2-a10f-fc6b7fdd343c,Stop & Shop #432,508-226-5888,469 PLEASANT ST,MA,41.951056,-71.271459
d026b3cb-7a1a-491e-8fc4-f8f2fc10c0c4,Stop & Shop #787,413-584-9700,228 KING STREET,MA,42.329134,-72.635998
b2b6dbe9-89a9-4c54-9164-45e662b64c36,Stop & Shop #475,508-432-5001,111 CHATHAM ROAD,MA,41.68462,-70.0578
785745b5-bad1-4a31-90f1-c2b10e532538,Stop & Shop #782,413-789-2226,1282 SPRINGFIELD STREET,MA,42.067499,-72.675758
5fb2367a-3390-4472-8bb8-eaba0ca4469a,Stop & Shop #82,781-293-5786,341 PLYMOUTH STREET,MA,41.995568,-70.848561
be001b25-e833-427a-842a-c44e8182f236,Stop & Shop #72,413-568-9660,57 MAIN STREET,MA,42.119331,-72.747605
d6c10d58-4574-49a3-9684-9fd9665b41ec,Stop & Shop #55,508-427-6582,932 NORTH MONTELLO STREET,MA,42.108948,-71.025633
f291bd80-5506-44a7-a032-8a71236c5f71,Stop & Shop #7,508-337-9455,377 CHAUNCY STREET,MA,42.032945,-71.236377
cca0557e-7928-497a-ae9c-502e1811622f,Stop & Shop #36,413-593-3999,"672 MEMORIAL DRIVE, ROUTE 33",MA,42.176301,-72.577785
3825dc19-67c7-4b93-b390-bfa057f01fe7,Stop & Shop #429,617-541-4300,1100 MASSACHUSETTS AVENUE,MA,42.326476,-71.065111
bbd1a2f2-cf4d-4a94-9e5c-f77fa4a32d2c,Stop & Shop #91,508-842-2771,539571 BOSTON TURNPIKE,MA,42.277911,-71.715984
283abe5f-9ea4-45de-9dba-f323993376a4,Stop & Shop #87,508-539-1803,39 NATHAN ELLIS HIGHWAY,MA,41.619557,-70.488833
e3f8350b-1012-49cd-846b-fc09fc7f2b82,Stop & Shop #494,508-543-6174,141 MAIN STREET,MA,42.075329,-71.260415
622fa6ed-918c-4cba-bc70-740cdea2a1ff,Stop & Shop #88,781-271-9403,337 GREAT ROAD,MA,42.485869,-71.261197
eda145e7-836d-4fba-98d1-361f5778f7a4,Stop & Shop #20,617-328-6622,65 NEWPORT AVENUE,MA,42.271068,-71.026655
e1377ed5-0bba-4971-a284-a7079f7712f8,Stop & Shop #421,508-324-9693,815 GRAND ARMY HWY,MA,41.729652,-71.17103
6f54948d-6199-42c9-b44f-6251ef0b7a68,Stop & Shop #407,781-231-5775,164 MAIN STREET,MA,42.46382,-71.027995
81b65efa-270d-44a7-bbec-7c2ac7ec2162,Walsh Pharmacy of Rock Street Inc,(508) 679-1300,202 Rock St.,MA,41.70442,-71.152779
380a274e-259d-4ca4-ba62-c1616c7b844e,INMAN PHARMACY INC #220111,(617) 876-4868,1414 CAMBRIDGE STREET,MA,42.373631,-71.101542
4f909acc-b35f-4057-95d0-9ae2abef66ae,ACTION Community Health Center,,130 Water Street,MA,42.58017,-71.79319
af1606a0-f85f-40ff-8af7-b76623338643,MinuteClinic #21463,4132560421,165 UNIVERSITY DR,MA,42.368627,-72.533931
2fa3e46e-8b25-45fe-bb12-6e8d95c74218,Walpole Pharmacy #2247713,(508) 645-8866,699 MAIN ST,MA,42.172029,-71.225958
0a2ca06d-6c4f-4408-aa3d-bd5adc52f2af,Walpole Pharmacy Inc,(508) 645-8866,699 Main Street,MA,42.172029,-71.225958
81b65efa-270d-44a7-bbec-7c2ac7ec2162,Walsh Pharmacy of Rock Street Inc,(508) 679-1300,202 Rock St.,MA,41.70442,-71.152779
88b51360-a25e-42e5-a982-f2635f640ba6,Bouvier Pharmacy Inc #2209725,(508) 485-0432,515 Lincoln Street,MA,42.344558,-71.562612
dbaa5354-730e-424e-9395-c0a5af54d9af,BIRDS HILL PHARMACY #MS1000593,781-449-0550,401 GREAT PLAIN AVE,MA,42.276182,-71.215191
19ef5320-2521-4f71-a807-f14d704c68d3,Whittier Health Pharmacy II #2244541,(617) 652-7679,278 Blue Hill Avenue Suite 288,MA,42.314746,-71.078485
19ef5320-2521-4f71-a807-f14d704c68d3,Whittier Health Pharmacy II #2244541,(617) 652-7679,278 Blue Hill Avenue Suite 288,MA,42.314746,-71.078485
2565eb2d-f1ab-4a16-9ab6-5904dc103cac,V Care Pharmacy,(508) 202-9993,151 Cochituate Rd.,MA,42.3005,-71.407788
e95518a9-7385-421c-83d3-fb4d912c8628,V-CARE PHARMACY AND SURGICAL SUPPLIES #224384,(508) 202-9993,151 COCHITUATE RD,MA,42.3005,-71.407788
e95518a9-7385-421c-83d3-fb4d912c8628,V-CARE PHARMACY AND SURGICAL SUPPLIES #224384,(508) 202-9993,151 COCHITUATE RD,MA,42.3005,-71.407788
2565eb2d-f1ab-4a16-9ab6-5904dc103cac,V Care Pharmacy,(508) 202-9993,151 Cochituate Rd.,MA,42.3005,-71.407788
e95518a9-7385-421c-83d3-fb4d912c8628,V-CARE PHARMACY AND SURGICAL SUPPLIES #224384,(508) 202-9993,151 COCHITUATE RD,MA,42.3005,-71.407788
2565eb2d-f1ab-4a16-9ab6-5904dc103cac,V Care Pharmacy,(508) 202-9993,151 Cochituate Rd.,MA,42.3005,-71.407788
e95518a9-7385-421c-83d3-fb4d912c8628,V-CARE PHARMACY AND SURGICAL SUPPLIES #224384,(508) 202-9993,151 COCHITUATE RD,MA,42.3005,-71.407788
2565eb2d-f1ab-4a16-9ab6-5904dc103cac,V Care Pharmacy,(508) 202-9993,151 Cochituate Rd.,MA,42.3005,-71.407788
25a3f7e7-6925-458c-a0b5-d38a345d52da,Community Care Pharmacy Inc #2244577,(617) 322-9265,2100 Dorchester Avenue,MA,42.278079,-71.066223
25a3f7e7-6925-458c-a0b5-d38a345d52da,Community Care Pharmacy Inc #2244577,(617) 322-9265,2100 Dorchester Avenue,MA,42.278079,-71.066223
54360b82-b5c4-464c-9830-af5cbd227a01,Whittier Health Pharmacy Inc #2229664,(617) 541-6846,1290 Tremont Street,MA,42.332766,-71.091985
f031c7c8-ccd8-4b9f-b081-402082dc7811,MinuteClinic #21377,5082782456,323 N MAIN ST,MA,42.090782,-71.642223
6b154511-48e2-471a-9683-72c0ebe92256,MinuteClinic #20747,5086722403,1620 PRESIDENT AVE,MA,41.713026,-71.127491
86eea15f-e05e-4a12-99f5-1f85a5c3f33e,REMEDIUM PHARMACY #MS1002323,(978) 251-7070,2 VINAL SQUARE,MA,42.639935,-71.383774
86eea15f-e05e-4a12-99f5-1f85a5c3f33e,REMEDIUM PHARMACY #MS1002323,(978) 251-7070,2 VINAL SQUARE,MA,42.639935,-71.383774
86eea15f-e05e-4a12-99f5-1f85a5c3f33e,REMEDIUM PHARMACY #MS1002323,(978) 251-7070,2 VINAL SQUARE,MA,42.639935,-71.383774
86eea15f-e05e-4a12-99f5-1f85a5c3f33e,REMEDIUM PHARMACY #MS1002323,(978) 251-7070,2 VINAL SQUARE,MA,42.639935,-71.383774
9e0907a8-4304-4f45-9743-efdb3e1ff4f7,Milford Central Pharmacy,508-381-2740,105 E MAIN ST,MA,42.148185,-71.509151
97adaf29-2d44-426b-ae1e-98b0ea967a3b,Union Pharmacy,617-928-8455,103 UNION ST,MA,42.329606,-71.19341
7bd6371f-3671-4bea-8c86-e02c0b8c9799,MetroWest Pharmacy,508-405-0609,214 UNION AVE,MA,42.283884,-71.421008
80634663-4467-4bcf-81ee-bbad210b5d62,Springfield Pharmacy,413-266-3462,2547 MAIN ST,MA,42.11362,-72.604806
8780fb90-f014-4387-bf11-cb6dd39091f1,Galaxy Pharmacy,617-268-0800,534 DORCHESTER AVE #C-1,MA,42.331049,-71.056847
e6ae7070-b8ad-499f-9629-80739ebdc50a,McNabb Pharmacy,978-597-2392,233 MAIN STREET,MA,42.666166,-71.703927
1227f31e-75bd-46a2-9803-d1bf2b687086,V-Care Pharmacy of Chestnut Hill,617-440-9622,1244 BOYLSTON ST,MA,42.322288,-71.166667
ca65cf2f-a309-4a26-aa5f-f0c3b186d09a,Arrow Prescription Center,413-568-8911,427 NORTH ELM STREET,MA,42.139904,-72.733961
3edc7f0b-7958-40ff-999d-5d66e0693ad5,Galaxy Pharmacy,617-302-3599,343 NEWPORT AVE,MA,42.26525,-71.019551
73a55d2d-31a9-430b-8a67-b546acee3db4,MinuteClinic #20786,7812350219,188 LINDEN ST,MA,42.301189,-71.293037
b6062c73-2a46-47fa-a694-0c850394a4cf,South End Community Health Center,,1601 WASHINGTON ST,MA,42.338348,-71.074894
5bc5078b-797f-4002-9210-652c06c65b23,Holyoke Health Ctr Inc,,230 MAPLE ST,MA,42.207205,-72.608372
c865c65f-28bc-4c53-80a8-c7613583c381,MinuteClinic #21983,6173544420,6 JFK ST,MA,42.373212,-71.119384
